Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.9908665627088439,0.9946386446493674,0.9878594249201278,0.9912374438982688
LSTM,0.9984406326576075,0.9972381559379647,0.999787007454739,0.9985109551159328
BERT,0.9840721764312764,0.9846678023850085,0.984877529286475,0.9847726546693643
